smiles,HOMO,LUMO,gap
CC1=CC=C(C2=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C3=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=CC=C38)=C8C=C2N9C(CCCCCCCCCC)CCCCCCCCCC)C9=C1,5.45,3.55,1.91
CC1=CC=C(C2=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C3=CC(C4=CC=C(C5=C(N=C(C)C(C)=N6)C6=C(C7=CC=C(C)S7)S5)S4)=CC=C38)=C8C=C2N9C(CCCCCCCCCC)CCCCCCCCCC)C9=C1,5.3,3.47,1.65
CC1=CC=C(C2=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C3=CC(C4=CC=C(C5=C(N=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=N8)C8=C(C9=CC=C(C)S9)S5)S4)=CC=C3%10)=C%10C=C2N%11C(CCCCCCCCCC)CCCCCCCCCC)C%11=C1,5.32,3.59,1.51
CC1=CC(N(C2=CC=C(N(C3=CC=C(OCC(CCCCCC)CCCC)C=C3)C4=CC=C(OCC(CCCCCC)CCCC)C=C4)C=C2)C5=C6C=CC(C7=CC=C(C8=C(N=C(C9=CC=CC=C9)C(C%10=CC=CC=C%10)=N%11)C%11=C(C%12=CC=C(C)S%12)C%13=NSN=C%138)S7)=C5)=C6C=C1,4.8,3.7,1.1
O=C1N(CC(CCCCCC)CCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC=C(C)S5)S4)N(CC(CCCCCCCC)CCCCCC)C3=O,5.17,3.61,1.3
O=C1N(CCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C(C=C5)=CC6=C5C7=CC=C(C)C=C7N6C(CCCCCCCC)CCCCCCCC)S4)N(CCCCCCCC)C3=O,5.4,3.9,1.57
O=C1N(CCCCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C(C=C5)=CC6=C5C7=CC=C(C)C=C7N6C(CCCCCCCCCC)CCCCCCCCCC)S4)N(CCCCCCCCCC)C3=O,5.4,3.9,1.58
O=C1N(CCCCCCCC)C(C2=CC=C(C3=CC=C([Ge](CCCC)(CCCC)C4=C5C=CC(C)=C4)C5=C3)S2)=C6C1=C(C7=CC=C(C)S7)N(CCCCCCCC)C6=O,5.38,3.7,1.63
CC1=CC([Ge](CCCCCCCC)(CCCCCCCC)C2=C3C=CC(C4=CC=C(C(N(CCCCCCCC)C5=O)=C6C5=C(C7=CC=C(C)S7)N(CCCCCCCC)C6=O)S4)=C2)=C3C=C1,5.38,3.64,1.64
CC1=CC([Ge](CCCCCCCC)(CCCCCCCC)C2=C3C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)C=C2)=C3C=C1,5.38,3.91,1.79
O=C1N(CC(CC)CCCC)C(C2=CC=C(C3=CC=C4C(N(C(CCCCCCCCCC)CCCCCCCCCC)C5=C4C=CC(C)=C5)=C3)S2)=C6C1=C(C7=CC=C(C)S7)N(CC(CC)CCCC)C6=O,5.42,3.64,1.63
O=C1N(CCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC=C6C(C(CCCCCCCC)(CCCCCCCC)C7=C6C=CC(C)=C7)=C5)S4)N(CCCCCCCC)C3=O,5.35,3.66,1.75
O=C1N(C[C@@H](CCCC)CC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(N(C(C[C@@H](CCCC)CC)CC(CCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)N(C[C@H](CC)CCCC)C3=O,5.02,3.64,1.13
O=C1N(CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(N(C(C[C@@H](CCCC)CC)CC(CCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)N(CCCC)C3=O,4.9,3.63,1.13
O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC([Si](CC(CC)CCCC)(CC(CCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)N(CC(CCCC)CC)C3=O,5.04,3.47,1.29
O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC6=C(C(OCCCCCCCC)=C(C=C(C)S7)C7=C6OCCCCCCCC)S5)S4)N(CC(CCCC)CC)C3=O,5.16,3.51,1.31
O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(C(C(CCCCC)CC)=C(C(CCCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)N(CC(CCCC)CC)C3=O,5.21,3.63,1.34
O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=C(C6=CC=C(C[C@H](CCCC)CC)S6)C=C(C7=CC(C8=CC=C(C[C@@H](CCCC)CC)S8)=C(C)S7)S5)S4)N(CC(CCCC)CC)C3=O,5.17,3.62,1.29
CC1=CC=C(C2=C(C3=CC=C(C[C@H](CCCC)CC)S3)C=C(C4=CC(C5=CC=C(CC(CCCC)CC)S5)=C(C)S4)S2)C6=NSN=C16,5.52,3.24,1.88
CC[C@@H](CCCC)CC(S1)=CC=C1C2=C(C(S3)=CC=C3C4=CC=C(C5=CC=C(C)S5)C6=NSN=C64)SC(C7=CC(C8=CC=C(CC(CCCC)CC)S8)=C(C)S7)=C2,5.04,3.38,1.6
CC[C@@H](CCCC)CC(S1)=CC=C1C2=C(C(S3)=CC=C3C4=CC=C(C5=CC=C(C)S5)C6=C4N=C(C7=CC=C(OCC(CC)CCCC)C=C7)C(C8=CC=C(OCC(CCCC)CC)C=C8)=N6)SC(C9=CC(C%10=CC=C(CC(CCCC)CC)S%10)=C(C)S9)=C2,5.28,3.22,1.83
O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(C(CCCCCCCC)(CCCCCCCC)C6=C7SC(C)=C6)=C7S5)S4)N(CC(CCCC)CC)C3=O,4.95,3.31,1.31
CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCCCCCCCCCCCC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC)S1,4.9,3.2,1.58
CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(SC(C(C(CC)CCCC)=O)=C4)=C(C)S3)S5)C5=C2OCC(CC)CCCC)S1,5.12,3.55,1.61
CC(S1)=CC2=C1C3=C(C(OCC(CCCCCC)CCCCCCCC)=C(C4=C(C=C(C5=C6C(SC(C(CC(CC)CCCC)=O)=C6)=C(C)S5)S4)S7)C7=C3OCC(CCCCCCCC)CCCCCC)S2,5.15,2.95,1.59
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=C4C(C(N(CC(C#CC#CC#CC#CC#C)CCCCCCCC)C4=O)=O)=C(C)S3)S5)C5=C2OCCCCCCCCCCCC.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],5.42,3.6,1.84
